screen_name,text
mike_pence,"RT @Indiana_EDC: Merchandise Warehouse, a 3rd generation family owned biz is investing $13.8M into its IN operations creating 65 jobs https…"
timkaine,#DACAworks in Virginia. On my way to the Senate floor to tell stories about VA #Dreamers benefiting from the #DACA program
GOP,The fallout from Hillary Clinton’s email scandal is likely to complicate her campaign for months https://t.co/fzkTv9u7iI
GOP,Hillary Clinton’s campaign “seems increasingly desperate and reckless.” https://t.co/WCXoZopSXL
timkaine,"Good morning Richmond! Joining Jimmy on @1140WRVA in a few to talk #AUMF, trade, and the week in Washington. Tune in http://t.co/5R3jOgkZQa"
realDonaldTrump,The rules DID CHANGE in Colorado shortly after I entered the race in June because the pols and their bosses knew I would win with the voters
GOP,"@JennaKnepper, check it out! Your X Ambassadors song pick made the #LeadRight2016 playlist: https://t.co/XKfTBrxpxW"
HillaryClinton,"Anyone willing to sink so low, so often should never be allowed to serve as our Commander-in-Chief."
GOP,Happy Armed Forces Day! Thank you to all of the members of the armed forces who serve and support our great country! https://t.co/t3s0CJ6fia
mike_pence,Thanks Rep Steve King for your support of #TrumpPence! We will put American jobs 1st &amp; Make America Great Again! https://t.co/LnHmTMuJhS
timkaine,Just voted for a clean CR that keeps the government open and avoids another needless shutdown
TheDemocrats,Want to get involved in Democratic politics? We're looking for fall interns! Learn more: https://t.co/HoazuateEX https://t.co/Di82DYzN7o
GOP,RT @KamilahPrince: In Cleveland getting ready for our #Committed2Community chat before the #GOPDebate #LeadRight2016 https://t.co/eFthuQoTCm
mike_pence,Thx to the American Legion Post 610 for hosting @realDonaldTrump &amp; I for our roundtable w/ labor leaders #LaborDay https://t.co/bEY9NqraMk
realDonaldTrump,".#RogerStone was just banned by @CNN - their loss! Tough, loyal guy."
timkaine,Voted for the bipartisan #NorthKorea sanctions bill. @POTUS must have the tools needed to confront the growing threat
timkaine,Wishing a happy and healthy New Year to everyone observing Rosh Hashanah
mike_pence,"RT @SueEllspermann: Evansville is now proud home to tech center of global leader in appliances, Haier. @SouthwestIN @Indiana_EDC - S http:/…"
mike_pence,I am truly in awe every time I meet the great men and women and their families who have sacrificed so much for us. https://t.co/gq1eLj3dSI
HillaryClinton,"RT @mikereedschmidt: Happy anniversary, Dodd-Frank! One candidate would repeal Wall St reform—the other won't let it happen. Ask this guy h…"
HillaryClinton,"Trump stood by his proposed Muslim ban just last week. Now he's trying to backpedal. Don't let him.
https://t.co/rILrbZpIrJ"
mike_pence,"Full house outside Atlanta, GA with Congressman Tom Price! We will bring back US jobs and #MAGA! https://t.co/FrVuWInhie"
mike_pence,Having a great #DyngusDay in northern Indiana! https://t.co/v415tACxUJ
mike_pence,RT @GovPenceIN: Pleased to sign HEA 1001 in Evansville that commits $1 billion+ in infrastructure maintenance &amp; fully funds our RCI https:/…
GOP,"Today by the numbers:
69 days until Election 🐘
26 days until 1st Pres Debate 🇺🇸
270 days since Hillary Clinton's last press conf 🚫🎙"
realDonaldTrump,"#VoteTrumpID! #Trump2016
https://t.co/c6NHn6d6jX"
HillaryClinton,"RT @HFA: Meet three of the kids covered by the Children's Health Insurance Program, all grown up: https://t.co/NifwAMxjYg https://t.co/LKVZ…"
HillaryClinton,"RT @ElizabethBanks: WATCH: me + friends supporting @HillaryClinton @DemConvention #StrongerTogether #DemsinPhilly
https://t.co/0QU7KsdCka"
timkaine,"Trump thinks giving another huge tax cut to those at the top will somehow help working families? Give me a break.
https://t.co/OsppyFx0vu"
mike_pence,RT @FirstLadyIN: Going on a #RoadTripWithBlue along w/ the 1st &amp; 2d graders of #ClayCounty! @blue @Colts https://t.co/qXWmdVdKrK
GOP,"Obama-Clinton Record on the Middle Class:

Labor Force Participation ⬇️

Middle Class Jobs ⬇️ 900,000

Incomes ⬇️ $1,656

#DemDebate"
GOP,"Today by the numbers:
SC Debate: 3 days
SC Primary: 10 days
NV Caucus: 13 days
@GOPconvention: 159 days
Election 2016: 272 days"
GOP,Top 5 Clinton email lies exposed https://t.co/5ZErmPmu8f https://t.co/yqCCC7aQ2o
timkaine,Sintoniza ahora @lagrand1480! Estaré hablando con @demetriofloress sobre la crisis de niños buscando asilo en nuestra frontera sur.
timkaine,Met with interns from the @CHCI who are aspiring to be our country's next great latino leaders http://t.co/HoPmQ5JRma
mike_pence,"RT @GovPenceIN: Today marks 100 days until the start of the @INTorchRelay, a 3,200-mile journey through IN’s 92 counties https://t.co/1Zc7t…"
realDonaldTrump,"Just leaving Miami for Houston, Oklahoma and Colorado. Miami crowd was fantastic!"
TheDemocrats,Call Sen. Maj. Leader McConnell and tell him to hold a vote on the Supreme Court nominee: 202-224-2541 #CallForNine https://t.co/7xpyVUd5Pe
mike_pence,Thanks so much 2 our supportive friends in @BooneCoGOP for a great Lincoln Day Dinner. &amp; thnx for the delicious pie! https://t.co/rJNeTdMZhr
GOP,Hillary doesn't think Obama gets enough credit for this: Americans “dropped out of the labor force in droves.” https://t.co/kdzkRHdt0J
realDonaldTrump,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.
realDonaldTrump,"I will be doing the @TODAYshow with my wife, Melania, and the rest of my family in a major Town Hall. Hopefully, it will be fun! Enjoy.7A.M."
GOP,RNC Statement on Vice President Biden's Announcement: https://t.co/VG4030z2jB
GOP,WATCH: #Obama &amp; the Democrats pushed to pass ObamaCare. Now Americans are paying the price: http://t.co/4rk7yZ6rcr
mike_pence,RT @GovPenceIN: Officials: Regional Cities is helping boost the area’s spirit https://t.co/Dv8jVSaXVI @courierpress
HillaryClinton,"To every little girl who dreams big: Yes, you can be anything you want—even president. Tonight is for you. -H https://t.co/jq7fKlfwGV"
mike_pence,RT @GovPenceIN: Indiana is agriculture! That is why this administration will continue to stand with Hoosier farmers https://t.co/zaYutAK5H1
TheDemocrats,"""We have come too far.  We have made too much progress, and we are not going back."" - @repjohnlewis #DemsInPhilly https://t.co/AmqPaVKoP8"
mike_pence,RT @Indiana_EDC: .@SallieMae is investing more than $15.7M in its technology &amp; talent to enhance customer service https://t.co/AJVlLsJg4F
mike_pence,While @realDonaldTrump delivers address about restoring law &amp; order I'm honored to stand with officers in NM! https://t.co/jcSTrCWxpk
mike_pence,"We are working hard to get to Sarasota, FL! I appreciate everyone who is braving  the weather!"
realDonaldTrump,"Hillary defrauded America as Secy of State. She used it as a personal hedge fund to get herself rich! Corrupt, dangerous, dishonest."
GOP,"""Extremely careless"" cc @HillaryClinton #NBCNewsForum https://t.co/9TKZ7Qh2q7"
mike_pence,"RT @GovPenceIN: The 4th graders at @Longfellow_MCS are sharp! Really enjoyed our q&amp;a this afternoon, thx for asking some great q's! https:/…"
mike_pence,"RT @GovPenceIN: Thanks for the memories, number 18 #ThanksPeyton https://t.co/9SX36OZ5uG"
mike_pence,RT @GovPenceIN: I'm on @93wibc w/@GarrisonRadio talking abt today's FY 15 closeout &amp; this week's Amazon &amp; @nationalffa news. Listen: http:/…
mike_pence,"RT @The_RGA: Indiana's unemployment rate fell to 4.7% in July, its lowest point since November 2007. Gov @Mike_Pence gets results! http://t…"
timkaine,"I'm headed to the Senate floor to pay tribute to Alison Parker, Adam Ward and the @WDBJ family"
GOP,.@Lucdwin_Luck was an RLI Fellow in our 1st class before he was hired as full-time staff in FL #RNCtrailblazer2016 https://t.co/axnzbsLKAe
HillaryClinton,Donald Trump just became the Republican nominee. Chip in now to make sure he never steps foot in the Oval Office. https://t.co/GjshXP4BAG
TheDemocrats,Trump came one step closer to becoming the GOP nominee last night. Let's stop him: https://t.co/uAC8eeC9tN https://t.co/q392UGwVxk
HillaryClinton,RT @mayaharris_: Applaud Senate Dems for their strong proposal to help families fleeing violence and persecution in Central America. https:…
TheDemocrats,Michigan and Mississippi have spoken! Say you’re ready to elect a Democrat this year: https://t.co/gt1SGrTuI6 https://t.co/hbQHfLyQNr
TheDemocrats,"Let's celebrate 
🎉73 straight months of private-sector job growth 
✨5% unemployment
❤️Less than 10% uninsured https://t.co/zJHP2oMNaq"
mike_pence,RT @GovPenceIN: Had a great time meeting with community/civic leaders in Zionsville at Rosie's Diner for lunch! http://t.co/2RT975x6x4
TheDemocrats,"Let's make sure this doesn't happen. 
Be ready for November and register to vote: https://t.co/crbqOrYe7q https://t.co/WnhmivDYPA"
GOP,RT @GOPconvention: .@PamBondi is on stage next at the @GOPconvention! Tune in right here: https://t.co/Tf0SdlF2BC #RNCinCLE https://t.co/fn…
HillaryClinton,"Donald Trump has painted a dark, divisive picture of America. We have 102 days to stop him from becoming president.
https://t.co/hp3Bb0AS5Y"
realDonaldTrump,Crooked Hillary Clinton is spending a fortune on ads against me. I am the one person she doesn't want to run against. Will be such fun!
mike_pence,RT @GovPenceIN: Coming out to the @IndyStateFair? Be sure to download the 2015 #IndyStateFair app before you arrive! #YroftheFarmer http://…
mike_pence,Pence authorizes National Guard soldiers to carry personal handguns http://t.co/pH1gxUZATZ via @WISH_TV
GOP,Welcome to the race @ScottWalker! http://t.co/dTSjAUFTfD Show you're ready for #2016. Take the GOP Straw Poll. http://t.co/99j2LjUdB3
timkaine,Proud to cosponsor dual enrollment bill to help HS students earn college credit &amp; cut cost of college diploma http://t.co/hUZpxDJSlb
GOP,"""We got a lot of business done with the Russians"" -@HillaryClinton #DemDebate http://t.co/piP0AUal14"
realDonaldTrump,"Under the leadership of Obama &amp; Clinton, Americans have experienced more attacks at home than victories abroad. Time to change the playbook!"
TheDemocrats,#ActOnClimate https://t.co/uUAYROz9gK
timkaine,RT @firstfiveyears: Sen. @timkaine: Why Expanding Access to Pre-K Is a Smart Investment http://t.co/sYx4haJXgP #EarlyEd #investinus
timkaine,Members on both sides support a balanced approach to #sequester relief b/t defense &amp; non-defense budgets. Now's the time to do it
HillaryClinton,"RT @Hillary_esp: ""Seremos compañeros de alma en esta gran lucha por venir""—dijo @TimKaine sobre @HillaryClinton."
mike_pence,"RT @GovPenceIN: This clinic is the first of its kind in Indiana, and our veterans will benefit from this new opportunity for care https://t…"
timkaine,Driving to Fort Pickett to meet w/ local officials &amp; tour the site of the future embassy security training center
GOP,"Your guide to the Republican National Convention:

https://t.co/OYXiYMTJ0T https://t.co/bc2D5VoEP7"
realDonaldTrump,Median household income is down for the middle class since Obama took office. It will only go further down under Clinton.
HillaryClinton,"""I've never heard an American leader...claiming that he's all we need. That's not a democracy, my friends."" —Hillary"
realDonaldTrump,"You must be registered Republican by February 16th to vote TRUMP in the Florida primary. https://t.co/xZzUkjV3lL
https://t.co/lPuprzJBQ5"
timkaine,Apprenticeship programs are critical to growing our nation’s talented workforce. Read more about my bill here: http://t.co/cQbAoXVwI2
timkaine,Heartfelt congratulations to the Sri Lankan people on successful elections- a historic step toward a more democratic &amp; prosperous Sri Lanka
HillaryClinton,"""This campaign is about the needs of the American people and addressing the very serious crises that we face."" —@BernieSanders"
mike_pence,Our #TeamPence Region 8 Field Office is officially OPEN! #StartYourEnginesTour https://t.co/k6e8HcTSoo
realDonaldTrump,Sen. Lindsey Graham embarrassed himself with his failed run for President and now further embarrasses himself with endorsement of Bush.
mike_pence,FFA National Convention Commits to Indianapolis for Next 9 Years http://t.co/jhrlST7nvY http://t.co/QuTFf5GJvF
mike_pence,"RT @GovPenceIN: Pleased to see SB 165, codifying HIP 2.0, pass the Health &amp; Provider Services Committee unanimously #GovAgenda #INLegis"
realDonaldTrump,Crooked Hillary wants a radical 500% increase in Syrian refugees. We can’t allow this. Time to get smart and protect America!
timkaine,Proud that #CTEMonth res passed the Senate unanimously! CTE is vital for the workforce of our future. Read it here: https://t.co/NqFQRjU3kf
mike_pence,Indiana kids outperformed the national average in every major category on the Nations Report Card!
timkaine,Heading to Senate floor soon to discuss the dangers of obstructing Ambassador nominees &amp; how it weakens our leadership throughout the world
TheDemocrats,"Ted Cruz and Rand Paul’s flat tax plans would either
💰 raise taxes
or 
💣 blow up the deficit #OMGOP #GOPDebate https://t.co/51k57qSQCE"
realDonaldTrump,Kasich has helped decimate the coal and steel industries in Ohio. I will bring them back! #MakeAmericaGreatAgain
mike_pence,RT @GovPenceIN: Great turnout at the H. Kent Weldon Conference for Higher Education this afternoon @HigherEdIN https://t.co/8dKbEkpr6g
GOP,RT @realDonaldTrump: .@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2…
GOP,"Frmr VA gov Tim Kaine, who is on Hillary Clinton's VP short-list, accepted $160K worth of clothes, vacation as gifts https://t.co/KOpgg8RYeR"
TheDemocrats,RT @lgbt_dems: Democrats made history this week. https://t.co/IwnwSZDDPC
HillaryClinton,"Let's beat back the assault on voting rights—a blast from the Jim Crow past that must be stopped.

We should expand voting rights instead."
GOP,"RT @Reince: Today @GOP commemorates the 53rd anniversary of Dr. Martin Luther King Jr's ""I Have a Dream"" speech: https://t.co/d05OQOa6Vs"
HillaryClinton,"""I could not be prouder of the leader we have nominated to take my place.” —@POTUS on Hillary"
mike_pence,Stopped by Goody's Family Restaurant for lunch w/ local union leaders before heading to Youngstown #AmericaFirst https://t.co/kPBXWbQF5S
timkaine,"On #KoreanAmericanDay, we honor the impact Korean-Americans have had in communities across Virginia and America!"
GOP,The 2016 @GOPconvention stores in The Q are officially open! Shop all of the #RNCinCLE gear: https://t.co/uaQivuC3CG https://t.co/kjVBXqDuZ2
timkaine,More from the @RTDNEWS on what the new Foreign Affairs Security Training Center will mean for VA: https://t.co/9TOmHLCW5u
mike_pence,RT @BrandtHershman: Indiana income growth outpaces U.S. last 5 of 6 years. https://t.co/eG8OIcHoPO #AStateThatWorks
mike_pence,"RT @GovPenceIN: Joined @subaru_usa as they announced plans to significantly expand in IN, creating up to 1,204 jobs by 2017. More: http://t…"
GOP,"From taxes to terrorism, Obama is ignoring the will of the voters http://t.co/DMxfcYkg7s Retweet &amp; Demand he listen http://t.co/nbRCG7sIWT"
TheDemocrats,#WeAreDemocrats #DemDebate https://t.co/K1vIiUqR7s
GOP,"The stage and podiums are set at the #GOPDebate
https://t.co/w5NJJWrxtu"
TheDemocrats,"Unlike these plans for immigrants, Democrats focus on what's important—families &amp; the economy. #CNNDebate https://t.co/GxfqlmosOD"
mike_pence,"On my way to Dayton, OH &amp; then onto Cambridge, OH to talk jobs &amp; security. Not too late to RSVP for WI on Thu! https://t.co/OfFo4DpYMI"
TheDemocrats,"If you vote in:
✓ CA
✓ MT
✓ NJ
✓ NM
✓ ND
✓ SD
🎉 Today is the day to make your voice heard → https://t.co/gi4HDwjYMC https://t.co/HHWyYeIlrS"
TheDemocrats,"Watch out, glass ceiling, we're coming for you. #WomensEqualityDay
https://t.co/K9wBH503ZM"
mike_pence,RT @indgop: Pence Outraised Gregg in Year-End Fundraising Report. Read more at https://t.co/QCsg72elK0
TheDemocrats,.@HillaryClinton and so many Democrats up and down the ballot agree. #NBCNewsForum https://t.co/USQXEDtAdK
TheDemocrats,RT @DNCWomen: Mike Huckabee wants to amend the Constitution to overturn Roe v. Wade. We're voting Democrat. #Roe43 https://t.co/1nsJ3NLInn
TheDemocrats,RT @iowademocrats: 20 minutes to go until #DemDebate! https://t.co/xcjcFEWBRU
timkaine,Incredibly saddened to hear of Beau Biden's passing. His was a life dedicated to serving others. My heart goes out to the Biden family.
timkaine,"En mi op-ed en @el_pais, recuerdo mi visita a Honduras y mi servicio en ese mismo pais con @JesuitasESP hace 35 años http://t.co/jovMiY5kKk"
GOP,#OnThisDay in 1863 https://t.co/XNHPC19l4I
HillaryClinton,"Donald Trump is really good at spending other people's money—on:

Legal settlements.
Payoffs.
Portraits of himself. https://t.co/C5bXw5brI9"
GOP,RT @GOPconvention: Backstage at @GOPconvention's #RNCinCLE Digital Loft with @KimberlinBrown https://t.co/GGN9eRaFbC
GOP,BREAKING NEWS: Bernie Sanders caves to Hillary Clinton's rigged system https://t.co/NhKYv8cXyT
realDonaldTrump,"If Cory Booker is the future of the Democratic Party, they have no future! I know more about Cory than he knows about himself."
TheDemocrats,One hour to go. Watch the #DemDebate on @CBSNews or https://t.co/2pWp467PnD https://t.co/JQLlLttopR
timkaine,"Appreciate @JackandJillInc’s work to help families, like those in Alexandria &amp; Prince William Co. who visited today! https://t.co/KwYUgJ1J4G"
